company_name,website,category,_has_phone_field,_phone_field_details,_check_status,_error
Pets Best,petsbest.com,pet_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""PhoneNumber"", ""id"": ""PhoneNumber"", ""placeholder"": ""(xxx) xxx-xxxx"", ""matched_on"": ""phone""}]",success,
Spot Pet Insurance,spotpetins.com,pet_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""phone"", ""id"": ""mobile-number-(optional)"", ""placeholder"": "" ""}]",success,
Bestow,bestow.com,life_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""input16"", ""id"": ""input16"", ""placeholder"": ""+1 (757) 585-3977\u00e2\u0080\u00ac""}]",success,
Haven Life,havenlife.com,life_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""health"", ""id"": ""question-health-option-0"", ""placeholder"": """", ""matched_on"": ""cell""}]",success,
Sproutt,sproutt.com,life_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""phone"", ""id"": ""phone"", ""placeholder"": ""Phone""}]",success,
Kin Insurance,kin.com,auto_home,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": ""search-input--mobile"", ""placeholder"": """", ""matched_on"": ""mobile""}]",success,
Jerry,getjerry.com,auto_home,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": ""search"", ""placeholder"": ""Tell us what you\u2019re looking for"", ""matched_on"": ""tel""}]",success,
Pet Assure,petassure.com,pet_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""Phone"", ""id"": ""Phone"", ""placeholder"": ""123-456-1234""}]",success,
Slide Insurance,slideinsurance.com,auto_home,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""0-0-4-Phone Number"", ""id"": ""0-0-4-Phone Number"", ""placeholder"": ""###-###-####"", ""matched_on"": ""phone""}]",success,
Collective Health,collectivehealth.com,health_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": ""mobile-nav-input"", ""placeholder"": """", ""matched_on"": ""mobile""}]",success,
Sidecar Health,sidecarhealth.com,health_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""input_6"", ""id"": ""input_18_6"", ""placeholder"": ""Phone Number""}, {""type"": ""input[type=tel]"", ""name"": ""input_5"", ""id"": ""input_22_5"", ""placeholder"": ""Phone""}]",success,
Devoted Health,devoted.com,health_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""phone"", ""id"": ""phone"", ""placeholder"": """", ""matched_on"": ""phone""}]",success,
Agilon Health,agilonhealth.com,health_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""wpforms[fields][3]"", ""id"": ""wpforms-47781-field_3"", ""placeholder"": ""Phone Number*""}]",success,
Clover Health,cloverhealth.com,health_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""phone"", ""id"": ""form_phone"", ""placeholder"": ""Phone"", ""matched_on"": ""phone""}]",success,
Coverhound,coverhound.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""Phone"", ""id"": ""Phone-2"", ""placeholder"": ""Phone""}]",success,
Insurance.com,insurance.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""zipcode"", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""zipcode"", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""zip-value"", ""placeholder"": ""ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""PostalCode"", ""id"": """", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": """", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""PostalCode"", ""id"": """", ""placeholder"": ""Enter ZIP code""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": """", ""placeholder"": "" ""}]",success,
Insure.com,insure.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-auto-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-life-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-health-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": ""banner-home-zip-input"", ""placeholder"": ""Enter Zip""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""skipinterstitial_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}, {""type"": ""input[name/id/placeholder match]"", ""name"": ""new_tab_mobile_listing"", ""id"": """", ""placeholder"": """", ""matched_on"": ""mobile""}]",success,
SmartFinancial,smartfinancial.com,comparison,True,"[{""type"": ""input[type=tel]"", ""name"": ""zip"", ""id"": """", ""placeholder"": ""Zip Code""}]",success,
