company_name,website,category,_has_phone_field,_phone_field_details,_check_status,_error
Trupanion,trupanion.com,pet_insurance,False,,error,403 Client Error: Forbidden for url: https://www.trupanion.com/
ASPCA Pet Insurance,aspcapetinsurance.com,pet_insurance,False,,error,403 Client Error: Forbidden for url: https://aspcapetinsurance.com/
Lemonade Pet,lemonade.com/pet,pet_insurance,False,,success,
Wagmo,wagmo.io,pet_insurance,False,,error,403 Client Error: Forbidden for url: https://wagmo.io/
Pets Best,petsbest.com,pet_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""PhoneNumber"", ""id"": ""PhoneNumber"", ""placeholder"": ""(xxx) xxx-xxxx"", ""matched_on"": ""phone""}]",success,
Pawp,pawp.com,pet_insurance,False,,success,
Bivvy Pet Insurance,bivvy.com,pet_insurance,False,,error,526 Server Error: <none> for url: https://bivvy.com/
Pumpkin Pet Insurance,pumpkin.care,pet_insurance,False,,success,
PHI Direct,phidirect.com,pet_insurance,False,,error,403 Client Error: Forbidden for url: https://phidirect.com/
Paw Protect,pawprotect.com,pet_insurance,False,,success,
Spot Pet Insurance,spotpetins.com,pet_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""phone"", ""id"": ""mobile-number-(optional)"", ""placeholder"": "" ""}]",success,
Prudent Pet,prudentpet.com,pet_insurance,False,,error,403 Client Error: Forbidden for url: https://prudentpet.com/
24PetWatch,24petwatch.com,pet_insurance,False,,success,
Eusoh,eusoh.com,pet_insurance,False,,error,"HTTPSConnectionPool(host='eusoh.com', port=443): Max retries exceeded with url: / (Caused by NameRes"
Hartville Pet Insurance,hartvillepetinsurance.com,pet_insurance,False,,error,403 Client Error: Forbidden for url: https://hartvillepetinsurance.com/
Healthy Paws,healthypawspetinsurance.com,pet_insurance,False,,success,
Embrace Pet Insurance,embracepetinsurance.com,pet_insurance,False,,success,
Petsure,petsure.com,pet_insurance,False,,success,
Odie Pet Insurance,odiepetinsurance.com,pet_insurance,False,,success,
Figo Pet Insurance,figopetinsurance.com,pet_insurance,False,,success,
Fetch Pet Insurance,fetchpet.com,pet_insurance,False,,success,
Bestow,bestow.com,life_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""input16"", ""id"": ""input16"", ""placeholder"": ""+1 (757) 585-3977\u00e2\u0080\u00ac""}]",success,
Haven Life,havenlife.com,life_insurance,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": ""health"", ""id"": ""question-health-option-0"", ""placeholder"": """", ""matched_on"": ""cell""}]",success,
Sproutt,sproutt.com,life_insurance,True,"[{""type"": ""input[type=tel]"", ""name"": ""phone"", ""id"": ""phone"", ""placeholder"": ""Phone""}]",success,
ManyPets,manypets.com,pet_insurance,False,,success,
YuLife,yulife.com,life_insurance,False,,success,
AKC Pet Insurance,akcpetinsurance.com,pet_insurance,False,,success,
Dayforward,dayforward.com,life_insurance,False,,success,
Ladder,ladderlife.com,life_insurance,False,,success,
Wysh Life,wyshlife.com,life_insurance,False,,error,"HTTPSConnectionPool(host='wyshlife.com', port=443): Max retries exceeded with url: / (Caused by Name"
Ethos Life,ethos.com,life_insurance,False,,success,
Amplify Life,amplifylife.com,life_insurance,False,,success,
Quotacy,quotacy.com,life_insurance,False,,success,
Hippo Insurance,hippo.com,auto_home,False,,success,
Kin Insurance,kin.com,auto_home,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": ""search-input--mobile"", ""placeholder"": """", ""matched_on"": ""mobile""}]",success,
The Zebra,thezebra.com,auto_home,False,,error,403 Client Error: Forbidden for url: https://www.thezebra.com/
Insurify,insurify.com,auto_home,False,,error,403 Client Error: Forbidden for url: https://insurify.com/
Root Insurance,root.com,auto_home,False,,success,
Branch Insurance,ourbranch.com,auto_home,False,,success,
Metromile,metromile.com,auto_home,False,,error,403 Client Error: Forbidden for url: https://metromile.com/
Mile Auto,mileauto.com,auto_home,False,,success,
Matic Insurance,matic.com,life_insurance,False,,success,
Policygenius,policygenius.com,life_insurance,False,,success,
Jerry,getjerry.com,auto_home,True,"[{""type"": ""input[name/id/placeholder match]"", ""name"": """", ""id"": ""search"", ""placeholder"": ""Tell us what you\u2019re looking for"", ""matched_on"": ""tel""}]",success,
Swyfft,swyfft.com,auto_home,False,,error,403 Client Error: Forbidden for url: https://swyfft.com/
Toggle,toggle.com,auto_home,False,,error,403 Client Error: Forbidden for url: https://www.toggle.com/
Neptune Flood,neptuneflood.com,auto_home,False,,error,403 Client Error: Forbidden for url: https://neptuneflood.com/
